1,Dumitrel Ion,Partidul Democrat Liberal,2008
2,Iotcu Petru-Nicolae,Partidul Democrat Liberal,2008
3,Nicolescu Constantin,Partidul Social Democrat,2008
4,Benea Adrian Dragos,Partidul Social Democrat,2008
5,Tirle Radu,Partidul National Liberal,2008
6,Rusu Liviu-Mihai,Partidul Democrat Liberal,2008
7,Tabuleac Mihai,Partidul Democrat Liberal,2008
8,Cancescu Aristotel Adrian,Partidul National Liberal,2008
9,Gheorghe Bunea Stancu,Partidul Social Democrat,2008
10,Mocanu Victor,Partidul Social Democrat,2008
11,Frunzaverde Sorin,Partidul Democrat Liberal,2008
51,Filipescu Raducu-George,Partidul National Liberal,2008
12,Tise Alin Paunel,Partidul Democrat Liberal,2008
13,Constantinescu Nicusor-Daniel,Partidul Social Democrat,2008
14,Tamas Sandor,Uniunea Democrata Maghiara din Romania,2008
15,Popescu N. Florin Aurelian,Partidul Democrat Liberal,2008
16,Prioteasa Ion,Partidul Social Democrat,2008
17,Chebac Eugen,Partidul Social Democrat,2008
52,Beianu T. Dumitru,Partidul National Liberal,2008
18,Calinoiu I. Ion,Partidul Social Democrat,2008
19,Borboly Csaba,Uniunea Democrata Maghiara din Romania,2008
20,Molot Mircea Ioan,Partidul National Liberal,2008
21,Ciuperca Vasile Silvian,Partidul Social Democrat,2008
22,Simirad Constantin,Partidul Social Democrat,2008
23,Radulescu C. Cristache,Partidul Democrat Liberal,2008
24,Man Mircea,Partidul Democrat Liberal,2008
25,Balu Marius,Partidul Democrat Liberal,2008
26,Lokodi Edita Emeke,Uniunea Democrata Maghiara din Romania,2008
27,Pruteanu Vasile,Partidul Democrat Liberal,2008
28,Stanescu Paul,Partidul Social Democrat,2008
29,Cosma Mircea,Partidul Social Democrat,2008
30,Csehi Arpad Szabolcs,Uniunea Democrata Maghiara din Romania,2008
31,Marc Tiberiu,Partidul Social Democrat,2008
32,Bottesch Martin,Forumul Democrat Al Germanilor din Romania,2008
33,Flutur Gheorghe,Partidul Democrat Liberal,2008
34,Dragnea Nicolae Liviu,Partidul Social Democrat,2008
35,Ostaficiuc Constantin,Partidul Democrat Liberal,2008
36,Tarhon Victor,Partidul Democrat Liberal,2008
37,Mihalachi Vasile,Partidul Social Democrat,2008
38,Cilea Ion,Partidul Social Democrat,2008
39,Oprisan Marian,Partidul Social Democrat,2008
1,Dumitrel Ion, Partidul Democrat Liberal,2012
2,Ioțcu Petru-Nicolae, Mișcarea Creștin-Liberală,2012
3,Nicolescu Constantin, Uniunea Social Liberală,2012
4,Benea Dragoș Adrian, Uniunea Social Liberală,2012
5,Popa Cornel, Uniunea Social Liberală,2012
6,Moldovan Emil Radu, Uniunea Social Liberală,2012
7,Țurcanu Florin, Uniunea Social Liberală,2012
8,Căncescu Aristotel Adrian, Uniunea Social Liberală,2012
9,Gheorghe-Bunea Stancu, Uniunea Social Liberală,2012
10,Bîgiu Marian Cristinel, Uniunea Social Liberală,2012
11,Frunzăverde Sorin, Uniunea Social Liberală,2012
51,Filipescu Răducu-George, Uniunea Social Liberală,2012
12,Uioreanu Horea-Dorin, Uniunea Social Liberală,2012
13,Constantinescu Nicușor-Daniel, Uniunea Social Liberală,2012
14,Tamás Sándor, Uniunea Democrată Maghiară din România,2012
15,Țuțuianu Adrian, Uniunea Social Liberală,2012
16,Prioteasa Ion, Uniunea Social Liberală,2012
17,Dobrovici-Bacalbașa Nicolae, Uniunea Social Liberală,2012
52,Mustățea Vasile, Uniunea Social Liberală,2012
18,Călinoiu I. Ion, Uniunea Social Liberală,2012
19,Borboly Csaba, Uniunea Democrată Maghiară din România,2012
20,Moloț Mircea-Ioan, Uniunea Social Liberală,2012
21,Ciupercă Vasile Silvian, Uniunea Social Liberală,2012
22,Adomniței Cristian Mihai, Uniunea Social Liberală,2012
23,Petrache Marian, Uniunea Social Liberală,2012
24,Ciceu Zamfir-Flore, Uniunea Social Liberală,2012
25,Duicu Ioan-Adrian, Uniunea Social Liberală,2012
26,Dobre Ciprian Minodor, Uniunea Social Liberală,2012
27,Tărâță Culiță, Alianța Electorală Populară Progresistă Europeană Liberală,2012
28,Stănescu Paul, Uniunea Social Liberală,2012
29,Cosma Mircea, Uniunea Social Liberală,2012
30,Ștef Mihai Adrian, Uniunea Social Liberală,2012
31,Marc Tiberiu, Uniunea Social Liberală,2012
32,Cindrea Ioan, Uniunea Social Liberală,2012
33,Nechifor Cătălin Ioan, Uniunea Social Liberală,2012
34,Dragnea Nicolae Liviu, Uniunea Social Liberală,2012
35,Bojin Titu, Uniunea Social Liberală,2012
36,Teodorescu Horia, Uniunea Social Liberală,2012
37,Buzatu Dumitru, Uniunea Social Liberală,2012
38,Cîlea Ion , Uniunea Social Liberală,2012
39,Oprișan Marian, Uniunea Social Liberală,2012
