Hava Mircea Gheorghe,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,1017
Josan Mihai Horatiu,Conventia Democratica Din Romania,1996,1213
Bacila Simion Alex,Conventia Democratica Din Romania,1996,1348
Jurca Valentin,Partidul Aliantei Civice,1996,1151
Sicoe Viorel Ioan,Candidat independent,1996,1455
Voicu Aurel,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,1696
Bugnar Vasile,Partidul National Liberal (CAMPEANU),1996,1794
Stan Vasile,Partidul Unitatii Nationale Romane,1996,1874
Lazea Gheorghe,Partidul Unitatii Nationale Romane,1996,8096
Ponoran Silviu,Partidul Aliantei Civice,1996,1936
Costea David,Partidul Democratiei Sociale Din Romania,1996,2130
Gordita Ghe.Valentin,Partidul Unitatii Nationale Romane,1996,2309
Lazea Rovin,Partidul Democratiei Sociale Din Romania,1996,2381
Iancu Roman,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,2577
Marc Plesa Nicolae,Partidul Unitatii Nationale Romane,1996,2915
Marginean Ioan,Partidul Democratiei Sociale Din Romania,1996,2988
Gligor Emil,Partidul Aliantei Civice,1996,3039
Balsan Ioan,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,3397
Guran Viorel-Moise,Partidul Democratiei Sociale Din Romania,1996,3459
Chiciudean Aurel,Partidul Democrat Agrar Din Romania,1996,3761
Muntean Ilie,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,3805
Ciurgiu Aurel,Partidul Democratiei Sociale Din Romania,1996,3841
Cucui N.Mihaila,Candidat independent,1996,3958
Muntean Cornel,Partidul Democratiei Sociale Din Romania,1996,4106
Draghici Virgil,Conventia Democratica Din Romania,1996,1071
Mihalachi Ioan,Conventia Democratica Din Romania,1996,4008
Mihu Nicolae,Conventia Democratica Din Romania,1996,4188
Muntean Nicolae,Partidul Unitatii Nationale Romane,1996,4142
Stinea Ioan,Partidul Democratiei Sociale Din Romania,1996,4240
Albu Vasile,Partidul Democratiei Sociale Din Romania,1996,4268
Muntean Augustin,Partidul Unitatii Nationale Romane,1996,4302
Lupea Gheorghe,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,4366
Fulea Ioan,"Partidul Noua Romanie""""",1996,4482
Virciu V.Marin,Partidul Unitatii Nationale Romane,1996,4525
Popa Augustin,Partidul Democratiei Sociale Din Romania,1996,4703
Olar Corneliu,Candidat independent,1996,4767
Milaciu Augustin,Conventia Democratica Din Romania,1996,4927
Jinariu Florean,Partidul Socialist Al Muncii,1996,4981
Horhat Ioan,Partidul Aliantei Civice,1996,5103
Brad Ioan,Candidat independent,1996,5167
Molnar Feri Martin,Candidat independent,1996,5210
Hirgiaga Aurel,Partidul Democratiei Sociale Din Romania,1996,5309
Vlad Ioan,Partidul Unitatii Nationale Romane,1996,5336
Varvara Nicolae,Partidul Democratiei Sociale Din Romania,1996,5577
Cirnat Marin,Conventia Democratica Din Romania,1996,5700
Porca Marian,Partidul Democratiei Sociale Din Romania,1996,5755
Tima Aurel,Partidul Democratiei Sociale Din Romania,1996,5826
Cadar Ioan,Partidul Democratiei Sociale Din Romania,1996,6048
Berindei Iacob,Conventia Democratica Din Romania,1996,6119
Mihaltan Nicolae,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,6164
Stanus Ioan,Partidul Democratiei Sociale Din Romania,1996,6217
Hanes Iosif,Partidul Democratiei Sociale Din Romania,1996,6271
Barb Valentin,Partidul Democratiei Sociale Din Romania,1996,6397
Dobos-Botas Constant,Conventia Democratica Din Romania,1996,6468
Maier Aurel,Partidul Democratiei Sociale Din Romania,1996,6547
Dan Gheorghe,Partidul Democratiei Sociale Din Romania,1996,6627
Szocs Francisc,Uniunea Democrata Maghiara Din Romania,1996,6592
Damian Ilie,Partidul Democratiei Sociale Din Romania,1996,6930
Botar David,Conventia Democratica Din Romania,1996,6761
Tima Victor,Partidul Unitatii Nationale Romane,1996,6976
Badila Vasile,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,7044
Draghiciu Vasile,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,7099
Popa Pasc,Partidul Democrat Agrar Din Romania,1996,7197
Herlea Ioan Simion,Conventia Democratica Din Romania,1996,7810
Latiu Gheorghe,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,7348
Popa Ioan Iancu,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,7384
Coroiu Iosif,Partidul Unitatii Nationale Romane,1996,7446
Capilnean Alexandru,Conventia Democratica Din Romania,1996,7865
Popa Ioan,Partidul Democratiei Sociale Din Romania,1996,7945
Lazar Nicolae,Partidul Unitatii Nationale Romane,1996,7767
Muntean Ion-Virgil,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,8014
Oprea Ovidiu,Partidul Democratiei Sociale Din Romania,1996,8158
Bodea Cornel,Conventia Democratica Din Romania,1996,8229
Dulau Gheorghe,Conventia Democratica Din Romania,1996,8354
Oarga V.Ioan,Partidul Democratiei Sociale Din Romania,1996,8425
Coltor Ioan,Partidul Democratiei Sociale Din Romania,1996,8826
Hava Mircea Gheorghe,Partidul Democrat,2000,1017
Rusu Liviu Octavian,Partidul Democratiei Sociale Din Romania,2000,1213
Solea Ioan,Partidul Democratiei Sociale Din Romania,2000,1348
David Stefan,Alianta Pentru Romania,2000,1151
Marzan Silviu,Partidul National Liberal,2000,2915
Sicoe Viorel Ioan,Partidul Democratiei Sociale Din Romania,2000,1455
Voicu Aurel,Candidat independent,2000,1696
